team,comparison_team,euclidean_distance,attacking_territory_z_difference,attacking_territory_absolute_z_difference,pass_verticality_z_difference,pass_verticality_absolute_z_difference,pressing_intensity_z_difference,pressing_intensity_absolute_z_difference,attacking_width_z_difference,attacking_width_absolute_z_difference,counterattacking_tendency_z_difference,counterattacking_tendency_absolute_z_difference
Swansea City,Crystal Palace,2.093431,0.522296,0.522296,-1.850840,1.850840,0.174333,0.174333,-0.562007,0.562007,-0.581213,0.581213
Swansea City,Everton,2.344325,-0.220972,0.220972,-0.203237,0.203237,0.729412,0.729412,1.390295,1.390295,-1.714866,1.714866
Swansea City,Leicester City,4.132491,0.401766,0.401766,-2.669709,2.669709,0.717972,0.717972,-0.305967,0.305967,-3.029788,3.029788
Swansea City,Liverpool,3.335299,-1.275608,1.275608,-0.388716,0.388716,-2.083288,2.083288,1.656576,1.656576,-1.503865,1.503865
Swansea City,Manchester City,3.048825,-2.189627,2.189627,0.558409,0.558409,-0.207906,0.207906,-0.186909,0.186909,-2.027532,2.027532
Swansea City,Manchester United,2.646757,-2.269980,2.269980,0.586034,0.586034,-0.712252,0.712252,-0.966549,0.966549,0.259915,0.259915
Swansea City,Newcastle United,2.257985,0.703091,0.703091,-1.073408,1.073408,0.770944,0.770944,-0.244518,0.244518,-1.672666,1.672666
Swansea City,Norwich City,2.290533,-0.070309,0.070309,-1.584461,1.584461,1.161389,1.161389,-1.172661,1.172661,-0.084401,0.084401
Swansea City,Southampton,2.852936,-0.472076,0.472076,-1.081301,1.081301,0.061924,0.061924,0.588891,0.588891,-2.529140,2.529140
Swansea City,Stoke City,1.690310,0.281237,0.281237,-0.749807,0.749807,0.815459,0.815459,1.205946,1.205946,0.310748,0.310748
Swansea City,Sunderland,3.922757,1.134990,1.134990,-2.648004,2.648004,1.288470,1.288470,2.198099,2.198099,-0.772073,0.772073
Swansea City,Tottenham Hotspur,3.645891,-1.175167,1.175167,-0.181532,0.181532,-2.065383,2.065383,1.852446,1.852446,-2.044795,2.044795
Swansea City,Watford,2.917864,0.441943,0.441943,-1.941606,1.941606,1.141991,1.141991,1.424860,1.424860,-1.102003,1.102003
Swansea City,West Bromwich Albion,2.866785,0.934107,0.934107,-2.296778,2.296778,1.296926,1.296926,0.400702,0.400702,0.477630,0.477630
Swansea City,West Ham United,2.573738,-0.050221,0.050221,-1.104979,1.104979,1.252410,1.252410,-0.404542,0.404542,-1.915317,1.915317
Tottenham Hotspur,AFC Bournemouth,3.310595,0.482120,0.482120,-0.069061,0.069061,1.232266,1.232266,-2.707618,2.707618,1.368632,1.368632
Tottenham Hotspur,Arsenal,3.118038,-0.562473,0.562473,0.489348,0.489348,2.166351,2.166351,-0.435267,0.435267,2.069732,2.069732
Tottenham Hotspur,Aston Villa,4.188951,1.376050,1.376050,-0.428179,0.428179,3.093473,3.093473,-1.788436,1.788436,1.643893,1.643893
Tottenham Hotspur,Chelsea,2.068572,-0.361590,0.361590,0.252567,0.252567,1.738353,1.738353,-0.888457,0.888457,0.522708,0.522708
Tottenham Hotspur,Crystal Palace,4.319253,1.697463,1.697463,-1.669308,1.669308,2.239715,2.239715,-2.414453,2.414453,1.463582,1.463582
Tottenham Hotspur,Everton,3.007370,0.954195,0.954195,-0.021705,0.021705,2.794795,2.794795,-0.462151,0.462151,0.329929,0.329929
Tottenham Hotspur,Leicester City,4.696143,1.576933,1.576933,-2.488177,2.488177,2.783355,2.783355,-2.158413,2.158413,-0.984993,0.984993
Tottenham Hotspur,Liverpool,0.619924,-0.100442,0.100442,-0.207184,0.207184,-0.017906,0.017906,-0.195870,0.195870,0.540931,0.540931
Tottenham Hotspur,Manchester City,3.030863,-1.014460,1.014460,0.739941,0.739941,1.857476,1.857476,-2.039355,2.039355,0.017264,0.017264
Tottenham Hotspur,Manchester United,4.108182,-1.094814,1.094814,0.767566,0.767566,1.353130,1.353130,-2.818995,2.818995,2.304711,2.304711
Tottenham Hotspur,Newcastle United,4.111421,1.878258,1.878258,-0.891876,0.891876,2.836326,2.836326,-2.096964,2.096964,0.372130,0.372130
Tottenham Hotspur,Norwich City,5.157072,1.104858,1.104858,-1.402929,1.402929,3.226772,3.226772,-3.025107,3.025107,1.960395,1.960395
Tottenham Hotspur,Southampton,2.767764,0.703091,0.703091,-0.899769,0.899769,2.127307,2.127307,-1.263555,1.263555,-0.484344,0.484344
Tottenham Hotspur,Stoke City,4.087767,1.456403,1.456403,-0.568275,0.568275,2.880842,2.880842,-0.646500,0.646500,2.355543,2.355543
